StateCode,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
20427,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666
20506,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,N/A,N/A,N/A
20510,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666
20520,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666
20535,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666
20540,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666
20551,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666
20553,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,N/A,N/A,N/A
20560,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666
20565,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666
20566,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666
20593,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,N/A,N/A,N/A
20660,141761,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666
20686,250001,250001,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,79475,-666666666,-666666666,-666666666,-666666666
18241,36696,38125,39432,39263,45313,43750,44698,46667,55096,56295,59079,63690,71625
18353,57114,61895,64063,65330,,70599,69484,72449,75836,76850,78888,87053,88311
18421,44113,45987,46725,48571,49730,48720,48547,52007,56567,55443,59158,66429,69593
18816,47000,40938,42188,50139,,78611,77727,74615,73977,73750,-666666666,-666666666,98214
18954,115489,115603,120959,123986,123896,125944,127183,133370,130268,131421,137011,149288,154989
18016,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,N/A,N/A,N/A
18046,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666
18068,40000,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,N/A,N/A,N/A
18105,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,N/A,N/A,N/A
18109,40263,40510,38506,40311,,39781,42878,45128,45196,46184,48065,53540,55437
18195,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666
18202,36693,34310,33246,33835,37302,37541,39455,41329,42475,44592,47313,53589,55517
18212,55156,58750,77569,63167,63571,58750,66250,65724,55455,55268,-666666666,-666666666,-666666666
18223,58398,49155,49458,50463,,-666666666,27117,26845,-666666666,-666666666,-666666666,-666666666,-666666666
18302,61781,57243,58935,60863,59225,61813,63189,66108,66010,70657,70669,79857,87044
18335,36500,50399,52440,53309,,54100,61923,75417,-666666666,96658,102319,109361,113615
18342,50179,97959,46806,100061,,30662,30556,-666666666,-666666666,-666666666,-666666666,-666666666,67027
18352,42596,52946,46400,33542,,73021,80417,82642,86023,71634,N/A,N/A,N/A
18371,67868,72594,74155,112250,111827,114750,115766,79291,79960,77893,69761,-666666666,115833
18427,35855,35170,31528,31313,23958,-666666666,-666666666,-666666666,-666666666,-666666666,N/A,N/A,N/A
18454,43750,43750,42750,46667,-666666666,-666666666,-666666666,-666666666,-666666666,90179,54688,60938,83125
18463,81250,68333,57273,76250,,56750,71071,88571,59904,90625,86786,93636,110192
18843,31964,32202,49097,52206,70288,50833,51875,49833,52250,44191,48393,-666666666,-666666666
18902,116016,117453,113606,116304,125563,127485,134180,138780,139293,134224,145917,161439,164482
18912,-666666666,-666666666,-666666666,-666666666,-666666666,111506,113975,-666666666,-666666666,-666666666,250001,250001,223182
18913,12109,65250,185337,69063,,-666666666,-666666666,-666666666,-666666666,-666666666,250001,223875,180250
18935,37059,37031,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,235893,250001,-666666666
18950,63875,67375,133800,135050,,-666666666,-666666666,-666666666,160547,-666666666,-666666666,211389,-666666666
18225,-666666666,-666666666,-666666666,28333,28500,28625,30679,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666
18229,57853,62763,58315,56655,,53643,56336,57963,61880,60126,63663,66367,67642
18947,110577,105142,115725,103571,98462,91023,96194,95724,107250,112205,120680,131860,136615
18976,90771,89814,89817,91721,,86572,94958,103338,102871,106667,112035,116128,119237
18980,44978,109097,96000,113313,74803,80938,85250,94063,85882,98125,97019,-666666666,78917
18251,24087,75938,75536,77969,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,N/A,N/A,N/A
18324,60650,61707,60587,54415,56098,50426,52813,53170,58958,51817,64042,67435,69000
18331,33839,33563,32708,24566,,31193,50625,45625,52500,67792,-666666666,-666666666,-666666666
18346,54250,55111,59083,61739,,54671,63969,69357,69348,52056,59500,55278,53981
18445,47750,50852,49922,47857,48458,49398,50446,56000,58750,46667,44205,49706,50625
18446,42226,42772,44519,42143,,49340,52344,54250,57458,56289,59414,62321,64868
18457,-666666666,63750,56042,58083,58224,57724,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666
18466,57153,55317,54458,55486,,56078,58387,61902,58771,60890,66603,71197,77508
18470,50469,50398,54954,58500,59688,64271,71364,71250,69063,64808,63482,69000,71280
18507,60159,52412,51032,53193,52570,56817,57735,58482,51429,57903,65956,70129,73958
18614,37056,36891,39464,41364,42568,42564,44301,45944,45085,44063,47727,55000,57900
18615,54148,50469,51094,48295,47067,51964,56667,62895,69479,67895,68558,74375,73611
21921,67921,65932,65716,62230,62011,64351,67882,68935,72992,74416,76214,80999,84608
21675,18542,19688,17708,16000,,39722,41765,41058,41250,38750,41607,-666666666,23958
21719,56250,53750,56477,52228,47188,52422,53523,54327,62917,66786,76719,74479,75278
21723,99883,104145,104638,89250,,-666666666,92333,171083,231172,233580,247284,250001,250001
21762,23824,90833,94375,93409,138973,138711,143438,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666
21767,32455,26029,25592,27201,28542,46493,52027,54333,48750,70400,44018,44531,44960
21773,88098,89375,90769,92237,91007,97315,96000,100132,105519,120348,124414,142470,152839
21777,112212,110096,106667,108162,,103152,108664,110486,113319,112155,121739,126944,136827
21778,70833,72955,78158,77639,97778,83553,74643,69722,74375,54531,54706,76063,110489
21228,70893,70676,76114,77214,,79716,85837,84257,85442,91178,93792,102592,107714
21522,32232,61250,60156,60781,83594,58603,71250,83750,65625,64286,N/A,N/A,N/A
21010,68333,70893,90000,96500,90750,101389,73500,75583,59821,80640,82813,91667,94097
21090,78320,72868,71938,77930,,90819,93485,94494,97426,94487,106793,118048,124688
21102,79905,80677,83870,84104,,85183,86909,90585,90500,97399,103084,110503,119535
30126,68973,69933,67955,66525,66417,66596,71208,78028,83934,82244,84756,94399,99975
30137,59833,61094,61667,56750,47105,49837,47411,51806,54375,58068,55859,76250,76319
30554,47978,49188,49455,49991,,51281,53075,54186,55238,54660,60378,69292,81789
30558,37865,42412,43140,41353,,40347,41274,41576,41208,49980,50950,51977,60043
30560,33425,36750,36913,37377,,42722,51250,53786,46418,41179,48286,51053,56391
30606,42881,42979,39623,39790,,40734,44046,48890,51615,50482,52566,58727,61397
30624,37321,38769,37802,40953,37591,29725,34345,40373,40671,43902,60673,68289,64464
30628,44521,42045,43868,47311,50101,53480,57366,61905,65051,54416,59888,62035,64882
30633,41037,40831,41074,43125,43173,46638,49192,51888,52594,50698,46270,48815,54890
30650,47744,45601,48392,48659,,51354,55191,62000,66163,68013,69677,80276,80357
30656,53125,53013,53828,52472,,57288,57823,60662,64711,65379,77431,86976,88431
30176,33333,37525,37688,39605,,44986,43723,44309,44073,48750,47374,56992,59958
30180,58354,60970,60428,57444,56187,55943,58454,61702,69485,75450,80649,87582,88269
30206,53269,56053,55684,52824,54034,46636,59091,66050,72917,71517,76847,81503,77500
30214,66882,65650,64712,64070,,64888,70732,72770,73350,75640,78173,84020,87138
30635,32005,34130,34933,34169,34670,36687,35669,38369,38864,37429,38704,44933,45368
30567,48519,45455,50293,44306,50717,55115,57734,60690,59196,55694,60068,71000,85208
30630,53267,50000,45703,48750,50577,42841,41946,42636,41934,44892,43750,39948,47000
30642,42555,45097,45647,45515,47762,50229,50566,55602,58504,68156,73564,83592,89394
30643,35899,35465,35433,37529,,38194,42116,39993,40602,43645,49201,60331,57145
30669,28766,28679,30938,30610,,27667,27200,30434,31864,34167,43934,51818,59000
30678,36806,33636,35536,33427,,34432,50573,56250,60481,52750,47328,49224,47500
30680,50029,51048,53266,51559,49939,49705,53263,55156,59361,62100,68471,74081,77038
30705,36450,37496,35548,34416,35525,38600,41646,44902,49395,52472,55668,61990,68519
30720,45701,44808,42902,43102,42600,43885,47895,51449,52048,54639,59539,64034,65620
30736,55725,53676,54967,58744,58827,60379,63682,64241,66044,70750,73700,81445,83896
30813,53902,57090,58601,61267,64481,67025,71476,73376,77253,75372,76879,81133,83890
30815,50597,50816,49979,50381,47533,46022,48696,51071,52793,54610,57039,62081,65132
30668,25326,26864,26376,27212,,27370,28669,36490,39167,49934,51500,53417,55972
30673,29577,28846,29414,30982,33102,33549,33895,34821,38150,35109,41036,51186,49342
30707,43195,39507,39763,40746,43888,44414,48790,49457,55321,55047,59391,63250,71538
30721,37455,35932,35507,35628,37094,38685,40081,41547,42401,42296,42820,51775,57749
30726,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666
30731,30489,33281,36439,35852,,38611,36813,38417,41848,41413,34978,45909,49909
30518,66111,66277,63843,63889,,68145,70504,73753,80839,79460,83329,94079,97339
30520,37730,35023,29983,30846,,36396,38692,39348,43594,46563,70712,58981,52813
30537,55742,57589,46946,45313,,41125,47109,51771,52929,-666666666,50688,42292,51818
30153,44802,44170,44072,43327,,37367,38179,45657,48438,48916,50010,53094,55704
30157,60323,61123,59301,60152,59904,59856,61444,63119,67096,68429,75915,84973,93562
30165,42929,40645,40105,41844,,45193,50109,50283,53167,57129,55448,58553,63915
30168,41243,38045,36172,36789,37899,37835,41299,44911,47788,48196,52450,63956,65646
30173,49638,50899,47014,44942,49919,52695,49245,45292,37179,34895,44032,47158,58494
30179,52526,48204,47961,47773,46638,46290,50680,57803,64347,68347,70569,74773,79311
30185,51807,52019,50986,53396,51515,55074,54767,53491,54327,53429,51167,54286,68516
30220,50833,48941,48958,46404,48438,48373,48734,52243,64268,72243,67270,81250,72278
30238,47170,46727,43569,43344,,43168,47161,48880,52390,53278,55999,59701,60232
30453,32185,31498,30570,26331,,26932,27243,30022,33570,37862,40707,44942,41399
30454,35978,36250,35313,38490,,41250,32181,31896,34100,33452,41845,47368,49292
30474,31628,31477,31946,31907,35955,37982,40987,40835,44101,47313,46575,51580,54713
30521,29781,27979,29647,35506,,40852,43750,46741,44939,56314,56563,58869,55618
30523,47891,48491,43717,44287,44719,44740,45896,51193,52409,57286,67419,73131,76780
30730,34550,33083,36058,36422,,40000,36471,36512,41708,50286,45724,46603,47462
30735,39950,40000,41183,41299,41786,44316,45000,46401,46930,48832,52461,56791,63419
30738,51573,50713,51411,50673,,49345,58354,46660,47342,50208,49693,53228,61250
30739,60847,66250,62601,64315,,64943,72181,68021,64427,63494,72594,70302,72396
30742,30412,37487,35764,33200,,41461,41990,43846,44710,39295,41298,44294,46473
30757,30188,30677,31377,33611,,34920,31004,31784,33935,36477,39882,64561,65190
30802,61066,65793,67049,60227,64125,64063,57634,60341,70106,52980,73656,82853,88395
30809,91825,88597,86628,86732,87344,95376,97435,102132,107531,112591,116881,125020,130150
33957,88906,92364,97849,97788,98818,102956,104115,102135,108081,92875,103413,111683,122730
33982,43539,43860,44125,42177,,44656,47282,47067,49750,46756,50654,56518,68514
33598,39861,40794,41806,43285,46009,52218,55752,61650,66961,66709,77790,88231,91649
33480,95347,91800,97208,94559,96604,101750,100139,110756,116901,141328,144300,163929,151121
33576,44007,47295,47431,49533,,55726,54980,58431,63433,62000,68750,78114,77950
33612,30456,28632,28474,28309,28867,30063,31101,33196,32200,35746,38023,41984,43919
33614,36864,35008,35098,34038,33384,35099,37115,39746,41954,43951,46740,50168,51143
33615,45739,46827,47903,47617,47177,47770,49163,49506,51672,53516,56352,61761,66257
33620,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666
33709,35476,33873,33681,35468,35469,37416,40387,42146,42111,45276,46290,48049,52621
33714,34671,33741,32160,31234,30916,30947,32970,35301,38245,36130,41239,45820,47221
33770,39592,39667,40522,40502,,40945,42864,44321,46355,47908,51968,53456,58071
33772,45786,45325,46979,45215,45166,46596,49489,50833,55200,60843,65775,71464,74026
33028,91962,92514,92588,90410,,94452,98245,103811,104271,101439,107412,109393,111553
33037,53808,52743,55944,59682,,60873,63623,63979,67917,68164,67236,73724,80911
33054,26283,25660,24966,25083,23563,22840,21977,24597,26919,31508,36911,38952,42779
33060,37429,36466,38093,38583,36806,40502,41007,43924,44647,47957,51374,55733,59757
33062,53222,55136,55938,57348,,56055,60029,62162,64812,68526,72329,78267,82955
33181,40534,40702,37718,38097,,43098,44305,46038,46139,47009,46726,54618,56473
33184,52873,52656,50268,49944,,47442,50493,50569,53480,60146,65536,72172,77443
33308,62275,59673,60341,61101,60663,60581,61917,62768,64792,73818,73390,80445,83413
33314,41463,40156,39590,36955,39444,38685,41936,44785,51635,55562,55317,59765,63791
33317,62551,63281,61383,60835,61722,63951,66468,65934,67878,72163,75767,79511,84239
33322,44875,43608,46006,47728,48048,46430,48420,49681,48179,46994,55281,59066,69037
33325,75201,73467,76623,77441,78647,76875,77357,78367,82805,85789,85607,93060,96004
33430,28406,28852,30678,31402,29762,26637,25830,24840,24615,29682,34178,42968,48690
33434,49978,49002,48713,50594,50086,53968,56228,56760,60457,62047,63472,68342,75480
33467,66101,64633,63891,63934,,66028,67011,69644,71821,70917,75617,83238,93053
33496,80840,80676,83138,78272,,84545,87510,86461,94816,93561,97855,98843,111754
33510,53320,54020,53504,52833,55399,55199,57397,58631,59061,62259,62579,68487,71057
33541,37631,39179,39377,39048,,39953,39133,39334,41681,41521,44324,51246,55556
33572,68937,66444,70671,69534,,72019,78617,83642,88654,97058,101828,110558,113775
33607,30774,31520,31831,36047,,37873,40811,41794,44806,46587,50241,57581,66404
33609,61004,61114,57086,58091,,60698,56830,63873,71225,85174,88794,105761,105083
33617,39551,37354,37323,37407,36176,35486,36181,37257,39700,39830,41961,45719,48651
33647,71055,70489,72131,73373,74239,76755,81693,84967,88649,89270,96843,103918,104775
