RegionName,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023
80017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.61871211,24.39420189,24.17828121,24.01215964,24.16065099,24.01272004,23.79979391,23.25384554,23.34220095,23.21029167,23.44377655,23.65976716,24.02929666,24.4217841,24.42950487,24.43153418,24.35643337,24.51993139,24.17259505,24.2640599,23.93047824,24.25035945,24.21593239,24.40616869,24.48150606,24.66431982,24.73880128,24.68943096,24.80235302,24.78233402,24.63860879,24.40551574,24.31432144,24.7239174,24.73105133,25.23103705,25.45874342,25.49666582,25.30780801,25.07893634,25.3718759,25.27188116,25.45212565,25.17688311,25.23783653,25.14106178,25.45715136,25.54132058,25.33431788,24.96673473,24.90942074,24.81301754,24.84581543,24.80363396,24.99152256,25.08743014,24.78988475,24.42857307,24.53105607,25.07843524,25.81158338,26.00607095,26.12870347,26.33724035,26.89449301,27.2397595,27.21405209,27.35645398,27.26474475,27.20759651,26.94417178,27.09679956,27.44842056,27.60970072,27.66383707,27.78988417,27.94134723,27.9354545,27.35526637,27.08975381,26.9731547
80018,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.86872529,22.81626286
80019,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.30754671,23.58568044,23.52451064,23.36392711,23.16765556,22.85710381,22.50011895,22.45815939,22.75078262,23.05714754,23.12343352,23.32722573,23.38970465,23.54291967,23.60790222,23.6008059,23.12388992,22.81229478,22.45285687,22.59542745,22.70852066,22.96002051,23.16136901,23.24817203,23.29734013,23.29101058,23.2033012,23.19315582,23.0182373,22.83442833,22.37044355,22.15652905,22.02099743,22.19427356,22.22746544,22.29378001,22.32831879,22.67857791,22.78799297,22.78270923,22.53628268,22.38746382,21.97633108,21.91736859,21.88109468,22.1324249,21.95474869,21.8619616,21.77324751,21.76766303,21.68832421,21.5911662,21.6397089,21.62243148,21.6882062,21.57430115,21.49181891,21.27065008,21.16220948,21.30726214,21.65718129,22.1005519,22.44905049,22.6276753,22.5369041,22.33455019,22.08651097,22.08216107,22.16319971,22.47576869,22.66100718,22.83379759,23.06555999,23.30751698,23.43413165,23.35956548,23.2433456,23.07833144,23.17693181,23.01553402,23.09969887
80021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9101887,22.81877924,22.43318366,22.43977473,22.32236746,22.96470192,23.11586024,23.72555905,23.62292725,24.18186882,24.25791058,24.63358,24.39628557,24.36512225,24.25562275,24.28772879,24.2031439,23.95018401,24.04668638,24.19279743,24.64673447,24.32387678,24.11842227,23.98715888,24.16470115,23.953662,23.59849669,23.32352291,23.18350116,22.98543305,22.84739528,22.70876478,22.6050025,22.74486322,22.78597527,22.68609672,22.56466638,22.35363115,22.11519213,21.77645141,21.49351902,21.62933648,21.79652661,22.14429498,22.43827935,22.80157394,23.06502896,23.06044751,22.82929333,22.27413837,21.85806842,21.72362732,21.88127777,22.10924124,22.24639522,22.54155959,22.6547176,22.70986955,22.63329472,22.41206978,22.0731609,21.65846469,21.3596098,21.25737796
80022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.54917854,31.32807802,31.4025563,31.74868785,31.29732144,31.52219826,31.35530281,31.30866083,31.00854293,30.98108716,30.14769584,30.30226989,29.75494654,29.99498811,30.21962892,30.08311809,30.73480464,30.53373177,30.88536217,30.40248582,30.26781255,30.75244915,31.40958947,30.90717588,30.55986697,30.00616349,30.35432618,29.64704486,29.55942139,28.98851321,29.49949477,29.25049797,29.10510608,28.67408947,28.75461216,29.1643918,29.13381475,29.17678534,28.97568172,29.1694466,28.59932516,28.63686892,28.63572148,28.99498994,29.02998475,29.16825283,28.77156534,28.76971573,28.45561721,28.89815805,28.8735478,28.82702383,28.44272281,28.3059181,28.26897066,28.26739069,27.95372341,27.93571209,27.3602991,27.30939871,26.88154835
80023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.68870117,14.33806677,14.33140435,14.37539384,14.52126693,14.77532051,15.06997009,15.05791068,14.99586503,14.79497219,14.71901001,14.43440818,14.39984243,14.63287655,14.97765503,15.11918046,15.24034436,15.24620536,15.34319565,15.28129021,15.20606627,15.12323692,15.16394477,15.09837709,15.07719628
80026,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.42906693,22.94370267,23.25504624,23.2900392,23.03509093,23.30806936,23.36410457,23.26252795,22.79322142,22.26376377,21.78627093,21.55807379,21.88104237,22.19197931,22.40814019,22.32092428,22.38512846,22.34645759,22.00436452,21.9884087,21.85660815,21.93792698,21.82122241,21.76567724,21.82043739,21.80437905,21.526757,21.20375212,21.19976176,21.28889724,21.18202147,21.04511483,20.40996752,20.34460982,20.21718259,20.36640254,20.30281334,20.09202276,20.36291378,20.65977097,20.88975602,21.09433288,21.15560279,21.08718744,20.74575006,20.44989204,20.34988148,20.41781644,20.88843695,21.1942813,21.48322692,21.46657858,21.71975309,21.77613785,21.71593158,21.29407077,21.17452565,21.05681276,21.01602586,20.79477354
80027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.49259902,17.71132407,17.39974488,17.60885222,17.7487794,18.03573988,17.97963456,18.10953242,17.88016718,17.89114819,17.75348384,17.95796439,18.16805242,18.08152331,18.01693823,18.08231701,18.20149436,18.14395881,17.94161177,17.73876942,17.63635494,17.64977985,17.68330457,17.39331255,17.19648891,17.23006726,17.37807022,17.23179464,17.04526673,16.96776147,17.02119895,17.08095816,17.05721048,16.67381247,16.32657789,16.22939116,16.360528,16.36058664,16.36572143,16.64001931,17.05168775,17.40098035,17.7427159,17.85389479,17.63580252,17.24866211,16.786926,16.63052979,16.84972537,17.28067393,17.62272409,17.5802626,17.55699718,17.52852249,17.4096084,17.21866951,17.03022655,16.88587312,16.67018637,16.43633077,16.2822118
80030,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
