ZIP Code,CBSA Code,USPS Default State for ZIP
36776,46220,AL
36785,33860,AL
36790,13820,AL
36792,13820,AL
36793,13820,AL
36801,12220,AL
36803,12220,AL
36804,12220,AL
36830,12220,AL
36831,12220,AL
36832,12220,AL
36849,10760,AL
36850,10760,AL
36851,17980,AL
36852,12220,AL
36853,10760,AL
36854,29300,AL
36855,29300,AL
36856,17980,AL
36858,17980,AL
36860,17980,AL
36861,10760,AL
36862,29300,AL
36863,29300,AL
36865,12220,AL
36866,12220,AL
36867,17980,AL
36868,17980,AL
36869,17980,AL
36870,12220,AL
36871,17980,AL
36874,12220,AL
36875,17980,AL
36877,12220,AL
36879,12220,AL
99501,11260,AK
99502,11260,AK
99503,11260,AK
99504,11260,AK
99505,11260,AK
99506,11260,AK
99507,11260,AK
99508,11260,AK
99509,11260,AK
99510,11260,AK
99511,11260,AK
99513,11260,AK
99514,11260,AK
99515,11260,AK
99516,11260,AK
99517,11260,AK
99518,11260,AK
99519,11260,AK
99520,11260,AK
99521,11260,AK
99522,11260,AK
99523,11260,AK
99524,11260,AK
99529,11260,AK
99530,11260,AK
99540,11260,AK
99567,11260,AK
99577,11260,AK
99587,11260,AK
99599,11260,AK
99623,11260,AK
99645,11260,AK
99652,11260,AK
99654,11260,AK
99667,11260,AK
99674,11260,AK
99676,11260,AK
99683,11260,AK
99687,11260,AK
99688,11260,AK
99694,11260,AK
99701,21820,AK
99702,21820,AK
99703,21820,AK
99705,21820,AK
99706,21820,AK
99707,21820,AK
99708,21820,AK
99709,21820,AK
99710,21820,AK
99712,21820,AK
99714,21820,AK
99725,21820,AK
99775,21820,AK
99790,21820,AK
99801,27940,AK
99811,27940,AK
99824,27940,AK
99901,28540,AK
99928,28540,AK
85001,38060,AZ
85002,38060,AZ
85003,38060,AZ
85004,38060,AZ
85005,38060,AZ
85006,38060,AZ
85007,38060,AZ
85008,38060,AZ
85009,38060,AZ
85010,38060,AZ
85011,38060,AZ
85012,38060,AZ
85013,38060,AZ
85014,38060,AZ
85015,38060,AZ
85016,38060,AZ
85017,38060,AZ
85018,38060,AZ
85019,38060,AZ
85020,38060,AZ
85021,38060,AZ
85022,38060,AZ
85023,38060,AZ
85024,38060,AZ
85026,38060,AZ
85027,38060,AZ
85028,38060,AZ
85029,38060,AZ
85030,38060,AZ
85031,38060,AZ
85032,38060,AZ
85033,38060,AZ
85034,38060,AZ
85035,38060,AZ
85036,38060,AZ
85037,38060,AZ
85040,38060,AZ
85041,38060,AZ
85042,38060,AZ
85043,38060,AZ
85044,38060,AZ
85045,38060,AZ
85046,38060,AZ
85048,38060,AZ
85050,38060,AZ
85051,38060,AZ
85053,38060,AZ
85054,38060,AZ
85060,38060,AZ
85061,38060,AZ
85063,38060,AZ
85064,38060,AZ
85066,38060,AZ
85067,38060,AZ
85068,38060,AZ
85069,38060,AZ
85070,38060,AZ
85071,38060,AZ
85074,38060,AZ
85076,38060,AZ
85078,38060,AZ
85079,38060,AZ
85080,38060,AZ
85082,38060,AZ
85083,38060,AZ
85085,38060,AZ
85086,38060,AZ
85087,38060,AZ
85117,38060,AZ
85118,38060,AZ
85119,38060,AZ
85120,38060,AZ
85121,38060,AZ
85122,38060,AZ
85123,38060,AZ
85127,38060,AZ
85128,38060,AZ
85130,38060,AZ
85131,38060,AZ
85132,38060,AZ
85135,37740,AZ
85137,38060,AZ
85138,38060,AZ
85139,38060,AZ
85140,38060,AZ
85141,38060,AZ
85142,38060,AZ
85143,38060,AZ
85144,38060,AZ
85145,38060,AZ
85147,38060,AZ
85172,38060,AZ
85173,38060,AZ
85178,38060,AZ
85191,38060,AZ
85192,37740,AZ
85193,38060,AZ
85194,38060,AZ
85201,38060,AZ
85202,38060,AZ
85203,38060,AZ
85204,38060,AZ
85205,38060,AZ
85206,38060,AZ
85207,38060,AZ
85208,38060,AZ
85209,38060,AZ
85210,38060,AZ
85211,38060,AZ
85212,38060,AZ
85213,38060,AZ
85214,38060,AZ
85215,38060,AZ
85216,38060,AZ
85224,38060,AZ
85225,38060,AZ
85226,38060,AZ
85233,38060,AZ
85234,38060,AZ
85236,38060,AZ
85244,38060,AZ
85246,38060,AZ
85248,38060,AZ
85249,38060,AZ
85250,38060,AZ
85251,38060,AZ
85252,38060,AZ
85253,38060,AZ
85254,38060,AZ
85255,38060,AZ
85256,38060,AZ
85257,38060,AZ
85258,38060,AZ
85259,38060,AZ
85260,38060,AZ
85261,38060,AZ
85262,38060,AZ
85263,38060,AZ
85264,38060,AZ
85266,38060,AZ
85267,38060,AZ
85268,38060,AZ
85269,38060,AZ
85271,38060,AZ
85274,38060,AZ
85275,38060,AZ
85277,38060,AZ
85280,38060,AZ
85281,38060,AZ
85282,38060,AZ
85283,38060,AZ
85284,38060,AZ
85285,38060,AZ
85286,38060,AZ
85287,38060,AZ
85288,38060,AZ
85295,38060,AZ
85296,38060,AZ
85297,38060,AZ
85298,38060,AZ
85299,38060,AZ
85301,38060,AZ
85302,38060,AZ
85303,38060,AZ
85304,38060,AZ
85305,38060,AZ
85306,38060,AZ
85307,38060,AZ
85308,38060,AZ
85309,38060,AZ
85310,38060,AZ
85311,38060,AZ
85312,38060,AZ
85318,38060,AZ
85320,38060,AZ
85321,46060,AZ
85322,38060,AZ
85323,38060,AZ
85326,38060,AZ
85327,38060,AZ
85329,38060,AZ
85331,38060,AZ
85333,49740,AZ
85335,38060,AZ
85336,49740,AZ
85337,38060,AZ
85338,38060,AZ
85339,38060,AZ
85340,38060,AZ
85341,46060,AZ
85342,38060,AZ
85343,38060,AZ
85345,38060,AZ
85347,49740,AZ
85349,49740,AZ
85350,49740,AZ
85351,38060,AZ
85352,49740,AZ
85353,38060,AZ
85354,38060,AZ
85355,38060,AZ
85356,49740,AZ
85360,29420,AZ
85361,38060,AZ
85363,38060,AZ
85364,49740,AZ
85365,49740,AZ
85366,49740,AZ
85367,49740,AZ
85372,38060,AZ
85373,38060,AZ
85374,38060,AZ
85375,38060,AZ
85376,38060,AZ
85377,38060,AZ
85378,38060,AZ
85379,38060,AZ
85380,38060,AZ
85381,38060,AZ
85382,38060,AZ
85383,38060,AZ
85385,38060,AZ
85387,38060,AZ
85388,38060,AZ
85390,38060,AZ
85392,38060,AZ
85395,38060,AZ
85396,38060,AZ
85501,37740,AZ
85530,40940,AZ
85531,40940,AZ
85532,37740,AZ
85535,40940,AZ
85536,40940,AZ
85539,37740,AZ
85541,37740,AZ
85542,37740,AZ
85543,40940,AZ
85544,37740,AZ
85545,37740,AZ
85546,40940,AZ
85547,37740,AZ
85548,40940,AZ
85550,40940,AZ
85551,40940,AZ
85552,40940,AZ
85553,37740,AZ
85554,37740,AZ
85601,46060,AZ
85602,43420,AZ
85603,43420,AZ
85605,43420,AZ
85606,43420,AZ
85607,43420,AZ
85608,43420,AZ
85609,43420,AZ
85610,43420,AZ
85611,35700,AZ
85613,43420,AZ
85614,46060,AZ
85615,43420,AZ
85616,43420,AZ
85617,43420,AZ
85618,38060,AZ
85619,46060,AZ
85620,43420,AZ
85621,35700,AZ
85622,46060,AZ
85623,38060,AZ
85624,35700,AZ
85625,43420,AZ
85626,43420,AZ
85627,43420,AZ
85628,35700,AZ
85629,46060,AZ
85630,43420,AZ
85631,38060,AZ
85632,43420,AZ
85633,46060,AZ
85634,46060,AZ
85635,43420,AZ
85636,43420,AZ
85637,35700,AZ
85638,43420,AZ
85639,46060,AZ
85640,35700,AZ
85641,46060,AZ
85643,43420,AZ
85645,46060,AZ
85646,35700,AZ
85648,35700,AZ
85650,43420,AZ
85652,46060,AZ
85653,46060,AZ
85654,46060,AZ
85658,46060,AZ
85701,46060,AZ
85702,46060,AZ
85703,46060,AZ
85704,46060,AZ
85705,46060,AZ
85706,46060,AZ
85707,46060,AZ
85708,46060,AZ
85709,46060,AZ
85710,46060,AZ
85711,46060,AZ
85712,46060,AZ
85713,46060,AZ
85714,46060,AZ
85715,46060,AZ
85716,46060,AZ
85717,46060,AZ
85718,46060,AZ
85719,46060,AZ
85721,46060,AZ
85723,46060,AZ
85724,46060,AZ
85725,46060,AZ
85726,46060,AZ
85728,46060,AZ
85730,46060,AZ
85731,46060,AZ
85732,46060,AZ
85733,46060,AZ
85734,46060,AZ
85735,46060,AZ
85736,46060,AZ
85737,46060,AZ
85738,46060,AZ
85739,38060,AZ
85740,46060,AZ
85741,46060,AZ
85742,46060,AZ
85743,46060,AZ
85744,46060,AZ
85745,46060,AZ
85746,46060,AZ
85747,46060,AZ
85748,46060,AZ
85749,46060,AZ
85750,46060,AZ
85751,46060,AZ
85752,46060,AZ
85754,46060,AZ
85755,46060,AZ
85756,46060,AZ
85757,46060,AZ
85901,43320,AZ
85902,43320,AZ
85911,43320,AZ
85923,43320,AZ
85926,43320,AZ
85928,43320,AZ
85929,43320,AZ
85931,22380,AZ
85933,43320,AZ
85934,43320,AZ
85935,43320,AZ
85937,43320,AZ
85939,43320,AZ
85941,43320,AZ
85942,43320,AZ
86001,22380,AZ
86002,22380,AZ
86003,22380,AZ
86004,22380,AZ
86005,22380,AZ
86011,22380,AZ
86015,22380,AZ
86016,22380,AZ
86017,22380,AZ
86018,22380,AZ
86020,22380,AZ
86021,29420,AZ
86022,22380,AZ
86023,22380,AZ
86024,22380,AZ
86025,43320,AZ
86029,43320,AZ
86030,43320,AZ
86031,43320,AZ
86032,43320,AZ
86033,43320,AZ
86034,43320,AZ
86035,22380,AZ
86036,22380,AZ
86038,22380,AZ
86039,43320,AZ
86040,22380,AZ
86042,43320,AZ
86043,43320,AZ
86044,22380,AZ
86045,22380,AZ
86046,22380,AZ
86047,43320,AZ
86052,22380,AZ
86053,22380,AZ
86054,43320,AZ
86339,22380,AZ
86401,29420,AZ
86402,29420,AZ
86403,29420,AZ
86404,29420,AZ
86405,29420,AZ
86406,29420,AZ
86409,29420,AZ
86411,29420,AZ
86413,29420,AZ
86426,29420,AZ
86427,29420,AZ
86429,29420,AZ
86430,29420,AZ
86431,29420,AZ
86432,29420,AZ
86433,29420,AZ
86434,29420,AZ
86435,22380,AZ
86436,29420,AZ
86437,29420,AZ
86438,29420,AZ
86439,29420,AZ
86440,29420,AZ
86441,29420,AZ
86442,29420,AZ
86443,29420,AZ
86444,29420,AZ
86445,29420,AZ
86446,29420,AZ
86510,43320,AZ
86520,43320,AZ
71601,38220,AR
71602,38220,AR
71603,38220,AR
71652,38220,AR
71659,38220,AR
71660,38220,AR
71665,38220,AR
71701,15780,AR
71720,15780,AR
71721,11660,AR
71724,20980,AR
71726,15780,AR
71728,11660,AR
71730,20980,AR
71731,20980,AR
71740,31620,AR
71743,11660,AR
71744,15780,AR
71745,15780,AR
71747,20980,AR
71749,20980,AR
71750,20980,AR
71751,15780,AR
71752,31620,AR
71753,31620,AR
71754,31620,AR
71758,20980,AR
71759,20980,AR
71762,20980,AR
71764,15780,AR
71765,20980,AR
71766,15780,AR
71770,31620,AR
71772,11660,AR
71820,45500,AR
71822,45500,AR
71834,45500,AR
71836,45500,AR
71837,45500,AR
71839,45500,AR
71840,45500,AR
71853,45500,AR
71854,45500,AR
71865,45500,AR
71866,45500,AR
71901,26300,AR
71902,26300,AR
71903,26300,AR
71909,26300,AR
71910,26300,AR
71913,26300,AR
71914,26300,AR
71921,11660,AR
71923,11660,AR
71929,31680,AR
71933,26300,AR
71941,31680,AR
71942,31680,AR
71949,26300,AR
71956,26300,AR
71962,11660,AR
71964,26300,AR
71968,26300,AR
71998,11660,AR
71999,11660,AR
72001,30780,AR
72002,30780,AR
72004,38220,AR
72007,30780,AR
72010,42620,AR
72011,30780,AR
72012,42620,AR
72015,30780,AR
72016,30780,AR
72018,30780,AR
72019,30780,AR
72020,42620,AR
72022,30780,AR
72023,30780,AR
72024,30780,AR
72025,30780,AR
72032,30780,AR
72033,30780,AR
72034,30780,AR
72035,30780,AR
72037,30780,AR
72039,30780,AR
72045,42620,AR
72046,30780,AR
72047,30780,AR
72052,42620,AR
72053,30780,AR
72057,30780,AR
72058,30780,AR
72060,42620,AR
72061,30780,AR
72065,30780,AR
72068,42620,AR
72070,30780,AR
72072,30780,AR
72076,30780,AR
72078,30780,AR
72079,38220,AR
72081,42620,AR
72082,42620,AR
72083,30780,AR
72084,30780,AR
72085,42620,AR
72086,30780,AR
72087,30780,AR
72089,30780,AR
72099,30780,AR
72102,42620,AR
72103,30780,AR
72104,31680,AR
72106,30780,AR
72111,30780,AR
72113,30780,AR
72114,30780,AR
72115,30780,AR
72116,30780,AR
72117,30780,AR
72118,30780,AR
72119,30780,AR
72120,30780,AR
72121,42620,AR
72122,30780,AR
72124,30780,AR
72125,30780,AR
72126,30780,AR
72128,30780,AR
72129,30780,AR
72132,38220,AR
72133,38220,AR
72135,30780,AR
72136,42620,AR
72137,42620,AR
72139,42620,AR
72142,30780,AR
72143,42620,AR
72145,42620,AR
72149,42620,AR
72150,30780,AR
72152,38220,AR
72164,30780,AR
72165,12900,AR
72167,30780,AR
72168,38220,AR
72173,30780,AR
72175,38220,AR
72176,30780,AR
72178,42620,AR
72180,30780,AR
72181,30780,AR
72182,38220,AR
72183,30780,AR
72190,30780,AR
72199,30780,AR
72201,30780,AR
72202,30780,AR
72203,30780,AR
72204,30780,AR
72205,30780,AR
72206,30780,AR
72207,30780,AR
72209,30780,AR
72210,30780,AR
72211,30780,AR
72212,30780,AR
72214,30780,AR
72215,30780,AR
72216,30780,AR
72217,30780,AR
72219,30780,AR
72221,30780,AR
72222,30780,AR
72223,30780,AR
72225,30780,AR
72227,30780,AR
72231,30780,AR
72255,30780,AR
72260,30780,AR
72301,32820,AR
72310,14180,AR
72313,14180,AR
72315,14180,AR
72316,14180,AR
72321,14180,AR
72322,22620,AR
72325,32820,AR
72326,22620,AR
72327,32820,AR
72329,14180,AR
72330,14180,AR
72331,32820,AR
72332,32820,AR
72335,22620,AR
72338,14180,AR
72339,32820,AR
72340,22620,AR
72346,22620,AR
72348,32820,AR
72350,14180,AR
72351,14180,AR
72354,27860,AR
72358,14180,AR
72359,22620,AR
72364,32820,AR
72365,27860,AR
72370,14180,AR
72372,22620,AR
72376,32820,AR
72377,27860,AR
72384,32820,AR
72386,27860,AR
72391,14180,AR
72392,22620,AR
72394,22620,AR
72395,14180,AR
72401,27860,AR
72402,27860,AR
72403,27860,AR
72404,27860,AR
72405,27860,AR
72411,27860,AR
72412,37500,AR
72414,27860,AR
72416,27860,AR
72417,27860,AR
72419,27860,AR
72421,27860,AR
72425,37500,AR
72426,14180,AR
72427,27860,AR
72428,14180,AR
72429,27860,AR
72432,27860,AR
72436,37500,AR
72437,27860,AR
72438,14180,AR
72442,14180,AR
72443,37500,AR
72447,27860,AR
72450,37500,AR
72451,37500,AR
72467,27860,AR
72472,27860,AR
72474,37500,AR
72475,27860,AR
72479,27860,AR
72501,12900,AR
72503,12900,AR
72522,12900,AR
72524,12900,AR
72526,12900,AR
72527,12900,AR
72531,34260,AR
72534,12900,AR
72537,34260,AR
72544,34260,AR
72550,12900,AR
72553,12900,AR
72562,12900,AR
72564,12900,AR
72568,12900,AR
72571,12900,AR
72575,12900,AR
72579,12900,AR
72601,25460,AR
72602,25460,AR
72615,25460,AR
72617,34260,AR
72623,34260,AR
72624,25460,AR
72626,34260,AR
72628,25460,AR
72633,25460,AR
72635,34260,AR
72640,25460,AR
72641,25460,AR
72642,34260,AR
72644,25460,AR
72648,25460,AR
72651,34260,AR
72653,34260,AR
72654,34260,AR
72655,25460,AR
72658,34260,AR
72659,34260,AR
72662,25460,AR
72666,25460,AR
72670,25460,AR
72679,40780,AR
72683,25460,AR
72685,25460,AR
72701,22220,AR
72702,22220,AR
72703,22220,AR
72704,22220,AR
72711,22220,AR
72712,22220,AR
72713,22220,AR
72714,22220,AR
72715,22220,AR
72716,22220,AR
72717,22220,AR
72718,22220,AR
72719,22220,AR
72721,22220,AR
72722,22220,AR
72727,22220,AR
72728,22220,AR
72729,22220,AR
72730,22220,AR
72732,22220,AR
72733,22220,AR
72734,22220,AR
72735,22220,AR
72736,22220,AR
72737,22220,AR
72738,22220,AR
72739,22220,AR
72740,22220,AR
72741,22220,AR
72742,22220,AR
72744,22220,AR
72745,22220,AR
72747,22220,AR
72749,22220,AR
72751,22220,AR
72752,22220,AR
72753,22220,AR
72756,22220,AR
72757,22220,AR
72758,22220,AR
72760,22220,AR
72761,22220,AR
72762,22220,AR
72764,22220,AR
72765,22220,AR
72766,22220,AR
72768,22220,AR
72769,22220,AR
72770,22220,AR
72773,22220,AR
72774,22220,AR
72776,22220,AR
72801,40780,AR
72802,40780,AR
72811,40780,AR
72812,40780,AR
72823,40780,AR
72824,40780,AR
72827,40780,AR
72828,40780,AR
72829,40780,AR
72833,40780,AR
72834,40780,AR
72837,40780,AR
72838,40780,AR
72842,40780,AR
72843,40780,AR
72847,40780,AR
72853,40780,AR
72856,40780,AR
72857,40780,AR
72858,40780,AR
72860,40780,AR
72901,22900,AR
72902,22900,AR
72903,22900,AR
72904,22900,AR
72905,22900,AR
72906,22900,AR
72908,22900,AR
72913,22900,AR
72914,22900,AR
72916,22900,AR
72917,22900,AR
72918,22900,AR
72919,22900,AR
72921,22900,AR
72923,22900,AR
72932,22900,AR
72934,22900,AR
72935,22900,AR
72936,22900,AR
72937,22900,AR
72938,22900,AR
72940,22900,AR
72941,22900,AR
72944,22900,AR
72945,22900,AR
72946,22900,AR
72947,22900,AR
72948,22900,AR
72952,22900,AR
72955,22900,AR
72956,22900,AR
72957,22900,AR
72959,22220,AR
