StateCode,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012
5,122253.8339,122476.7219,122647.9123,122843.6843,122942.1509,123034.1226,123098.9427,123263.9065,123380.6105,123481.3394,123476.3447,123472.0951,123429.5791,123441.941,123474.7119,123529.6398,123481.5496,123317.4261,123113.5369,122830.867,122554.5425,122223.7652,121917.9721,121567.0539,121186.145,120738.3728,120263.0997,119785.1198,119401.4588,119124.8316,118856.0273,118521.8885,118127.9092,117754.5708,117548.2377,117473.2813,117561.6301,117663.8575,117796.5858,117892.9577,117991.3687,117997.87,117822.8297,117580.8158,117172.2785,116742.9573,116203.9096,115690.0373,115238.8185,114906.1877,114693.1768,114484.6414,114196.4175,113942.6249,113779.3511,113728.0816,113725.4105,113767.9372,113782.9908,113752.1428,113731.0456
28,116609.6065,116945.7782,117166.9415,117369.0725,117744.2936,118068.9096,118236.2338,118378.8711,118564.1664,118803.5953,118929.7632,118857.0963,118822.7694,118700.0748,118618.7974,118308.7804,117765.4187,117159.4583,116519.7508,116014.845,115524.8957,115144.5011,114889.8669,114716.9464,114447.6171,114145.9708,113893.4694,113722.0879,113520.4424,113246.0566,112995.4077,112676.1,112321.8364,111912.5199,111572.0393,111305.4775,111153.4206,111084.4088,111005.4167,110877.7039,110693.0453,110498.8458,110205.8098,109831.0131,109362.1447,108866.1038,108459.2216,108272.0353,108230.7446,108183.4355,108076.8065,107903.8404,107782.8006,107621.0597,107619.2443,107565.489,107491.2874,107247.7926,107057.2262,106932.5349,106851.8842
20,112585.8653,112817.198,113075.1526,113427.2029,113852.8641,114224.5406,114529.3727,114856.5039,115106.5574,115315.7639,115337.998,115299.152,115215.1518,115158.8886,115209.3179,115300.609,115490.5138,115664.7994,115736.8098,115806.2635,115763.4172,115728.3366,115463.1365,115180.6412,114785.1463,114562.9962,114471.5148,114628.4229,114818.7138,115034.2636,115172.3853,115254.1611,115204.9307,115169.289,115105.2236,115039.5199,114939.1152,114787.1924,114824.5437,114931.19,115151.8687,115287.0246,115215.3249,114878.1823,114308.6239,113799.9962,113313.7751,112884.9495,112463.3883,112131.455,111783.6664,111401.9583,111147.2503,110982.9709,110847.4124,110635.1058,110310.6652,109920.6327,109574.2,109305.1226,109177.8156
35,183305.3235,183998.6884,184487.7478,185240.6788,185993.1419,187104.7406,187977.5791,188729.8414,188971.7512,189045.3714,189035.5911,189118.5952,189087.5021,188942.2241,188629.4499,188160.5517,187573.3875,186799.5689,185892.1565,184890.1055,183958.2664,182883.4215,181820.8817,180933.6511,180311.3458,179665.0527,178502.9577,177423.8134,176404.8624,176245.6048,175872.6311,175606.2851,174855.46,174644.2908,174306.8752,173984.2584,173772.6786,173769.0012,174023.0889,173737.4182,173314.9736,172359.5276,171312.8964,170230.8632,169201.5894,167735.1746,166108.7498,164620.8406,164072.6307,163890.5729,163893.5027,163345.5762,162440.5369,161307.5414,160522.6986,159978.6617,159614.6977,159238.7992,158844.0839,158460.3609,158156.3964
31,129200.1793,129304.7077,129469.0775,129585.7594,129656.0624,129406.1208,129271.6386,129186.8552,129225.7919,128938.0914,128616.381,128283.2933,127934.6011,127437.3448,127022.1532,126771.9655,126624.8513,126478.1049,126311.0773,126092.8928,125735.5238,125261.5348,124714.0372,124147.3538,123646.037,123351.0587,123527.0509,123788.9083,124166.7522,124345.4311,124475.7283,124547.4688,124738.8629,125069.5202,125370.2816,125757.7275,126208.6219,126634.212,126790.7689,127159.5202,127435.8556,127538.9509,126976.5597,126160.4342,125260.4365,124461.9895,123723.3503,123209.5579,122961.3964,122890.7275,122817.9911,122451.7215,122179.4566,121986.5796,121993.365,122048.6154,122015.6149,122062.8833,122089.5755,122041.2683,121768.5566
16,194116.1009,194456.1277,194462.6478,194691.0543,195248.7057,195719.0139,196161.0107,196542.4013,196841.7186,197033.4422,197203.5831,197566.7248,197954.3003,198680.6647,198913.9172,198778.7987,197603.8908,196258.2071,194876.6805,193509.4996,192039.779,190428.2081,188732.3556,186939.447,184987.3656,182863.0861,180674.0784,178455.3477,176343.2753,174484.5202,172711.803,170945.4294,169055.2545,167371.2967,165953.7535,165104.64,164078.028,163312.2865,162335.9181,161697.2914,161095.9372,159883.8762,158236.9867,156441.7123,154564.8964,152697.9185,150722.6707,148914.7884,147261.657,145719.8466,144565.4696,143210.3032,141992.4527,141074.6809,140787.0022,140602.0561,140367.4739,140215.2791,140117.2254,140078.768,139988.5443
54,99369.8576,99508.07888,99733.30695,99999.88987,100229.8308,100420.3722,100564.7167,100715.7969,100813.9004,100905.7604,100943.6681,101027.646,101154.8218,101350.211,101513.6758,101657.738,101787.9771,101974.6218,102200.8564,102380.3653,101871.8549,,100141.0688,99777.55354,99848.1022,99998.27493,100173.3025,100092.3815,99903.66451,99683.33503,99429.22042,99228.57375,98591.36155,97836.05802,96971.14649,96528.78176,96344.51668,96355.7203,96572.38017,96852.14346,97115.1787,97365.85814,97551.90305,97771.43447,97645.00948,97330.37092,96875.39399,96603.41257,96402.83682,96239.44064,96003.66697,95809.45277,95645.38525,95645.39899,95648.19384,95698.02043,95712.86607,95737.30327,95769.74024,95791.85248,95778.71384
15,468350.5107,468387.1228,468837.0347,469282.172,469474.0775,469445.1861,468609.9352,467990.3573,467018.1921,466650.3319,466224.9991,465950.1875,465328.2436,464405.6077,464232.2683,464397.7681,465726.1776,466176.3375,463398.6757,458290.3744,452291.1934,448464.2117,445197.655,442197.1842,439559.9232,436117.5171,432819.1521,429282.1939,425611.2449,421155.2249,416799.8854,413450.0535,409515.6599,405106.2282,401116.0658,400007.85,400945.9474,403959.4264,405972.1757,408279.7008,409100.0911,411118.5501,412455.0701,413704.166,414238.2764,414614.0638,415918.6454,416709.636,417490.4928,417367.0411,417325.8578,415823.6338,413995.046,411662.7308,409823.5254,407836.7321,406001.3139,404921.8043,403545.4269,403423.9152,403664.0473
33,250282.0767,249310.2426,248784.951,248189.5537,247751.4259,247051.5994,246430.1157,245911.2721,245382.458,244772.6136,243837.9792,242673.3067,241348.17,240256.7341,239060.8233,238089.0595,236319.5835,234328.9176,232198.3265,230297.4502,228513.2596,226541.2926,225003.589,223414.1366,222410.9831,221395.7722,220517.6142,218985.5884,217353.8795,216017.6053,214976.4632,214052.1393,213034.976,212137.6478,211572.0334,211303.1718,211286.8278,211117.9989,210736.1236,210186.2528,209768.4073,209449.4871,209368.0275,209388.6465,209579.1851,209356.4206,208639.8726,207702.5383,206890.9796,206653.3831,206307.1586,205892.1618,205016.52,204146.2588,203019.8448,202112.9653,201280.8683,200803.1639,200180.67,199526.5145,198759.8248
23,198869.377,198882.5405,198699.3086,198400.0222,198018.2753,197373.4129,196360.4829,196058.0319,196184.8632,196750.3211,196745.5772,196843.1539,196930.2585,197036.2917,196980.4304,196395.3772,195399.5204,193892.4526,192527.0428,191196.6171,190196.9386,189317.3395,188641.0139,187690.4584,186562.366,185524.4001,184457.2656,183517.0921,181834.4668,180302.2125,178735.1369,177933.9744,177274.923,176663.8526,175991.3517,175581.1871,175306.2791,175254.8132,175630.556,176523.2424,177393.311,177366.3647,176580.2964,175578.983,174811.8679,174041.4896,173198.7398,172204.5549,171904.0648,172118.9655,172616.9468,172620.1563,172370.1868,172167.0942,172100.9053,171948.5888,171620.641,171170.6993,170692.5778,170177.5031,169601.5585
