StateName,1/31/2005,1/31/2006,1/31/2007,1/31/2008,1/31/2009,1/31/2010,1/31/2011,1/31/2012,1/31/2013,1/31/2014,1/31/2015,1/31/2016,1/31/2017,1/31/2018,1/31/2019,1/31/2020,1/31/2021,1/31/2022,1/31/2023
13,6.967522941,8.460720048,7.070418919,3.45580165,1.906549434,-5.70179763,-11.76962255,-21.20883425,-19.44938782,-11.88379279,-9.107469863,-6.780664585,-6.179308001,-3.11586804,-0.234655365,2.257842055,10.41291304,22.71787379,32.18175902
15,-14.8933994,1.808933765,5.327806946,-0.751339587,-1.689797175,-8.806580037,-3.186583529,-12.66261684,-11.84207389,-6.211045846,-4.784154619,-0.364157031,0.865820579,3.204323025,2.996515229,3.334561184,8.898914443,15.98526584,22.76960694
16,-16.10639077,-1.847478785,1.656190033,0.783443116,-0.26295633,-8.615361931,-17.69941325,-25.45847321,-20.55848251,-14.57260983,-11.49688084,-11.09529577,-3.986617067,-1.201128504,2.095834567,8.601838334,26.72617853,49.76437288,43.27323134
17,20.94022563,26.80126119,26.56582072,20.03209881,12.45893321,3.954006412,-3.712839879,-14.60413473,-17.73094428,-12.42971691,-11.20429042,-9.147117221,-8.336636691,-6.695563361,-9.893089955,-9.333128305,-4.814741407,-1.746702627,-1.103440184
18,-2.495684804,-0.59244759,-2.662889132,-3.122709022,0.052873066,-0.025300631,-5.738230155,-8.437508166,-7.701098606,-8.88410042,-7.444827219,-6.77389275,-5.036574481,-1.840846957,1.831971942,4.104241723,10.93871232,19.51834602,24.30996486
19,1.777372634,5.038064046,1.460988247,-0.580568506,0.44628622,-0.388220294,-4.472072174,-8.644169877,-7.31125567,-5.808088805,-5.133412819,-1.776026629,-2.886689719,-1.81983045,-0.286637851,1.608795873,5.496407616,8.921584882,14.35747328
20,3.953656839,0.69341701,-0.012608806,-3.236483911,1.160298769,0.372390272,-3.207655127,-8.423748568,-6.813517691,-7.649979828,-7.025770405,-3.575430177,-3.247248076,-2.459670176,-3.925620215,0.122078211,8.451030821,13.45650604,21.36835502
21,2.631953596,1.625504735,2.111768678,-0.422755656,2.437511274,1.148042975,-2.757795114,-6.695289497,-8.697224951,-5.578400405,-8.015326936,-6.312350985,-5.333484931,-4.358117712,-2.14932842,0.363247682,8.876458573,12.69746357,18.42812352
22,-1.090120357,-0.284023298,3.226639775,-0.72456626,1.435840003,0.783300589,1.86280138,-3.57449611,-4.584901585,-2.207161516,-1.461801492,5.37284305,3.388797597,0.399240212,-5.107085269,-0.889980698,3.226882207,2.083483334,-1.855691561
23,7.512675876,14.70050047,9.690337022,7.00479284,3.248663985,-3.152287299,-5.481579786,-8.097176028,-8.681802425,-10.60807541,-12.97870229,-11.12862409,-11.62494679,-4.637752731,-4.417406549,-4.187394793,6.775596688,16.16117244,19.90200886
24,10.10128349,25.65618595,29.15166476,20.46480322,7.856399357,-1.700896061,-8.085008664,-13.87455381,-12.80794458,-9.134478292,-8.452792636,-9.15968303,-8.76901954,-8.199564077,-9.24275325,-7.505534394,-1.568792407,2.731861406,2.538822564
25,21.12662046,21.33042753,11.55628001,1.848226535,-3.950927924,-3.379995505,-5.306060081,-13.16283994,-12.73780003,-9.716278311,-7.869194862,-7.921237697,-4.936905059,-1.873417266,-4.555278,-3.960495047,4.133234728,9.121862092,10.25377836
26,19.0223232,18.58808471,14.41056685,5.205225406,-2.537913208,-15.6902871,-20.72356669,-25.4709739,-22.03844465,-14.22398179,-10.08423568,-5.578986626,-3.669838805,0.78924039,2.228208979,4.820269037,12.75865962,19.59602456,22.5996257
27,16.12041969,18.24573415,14.76189816,7.451454652,0.122553122,-5.403334739,-12.09729241,-21.49829441,-17.70794408,-10.98427727,-10.12566102,-7.174933284,-5.266697964,-1.535203927,-1.548320726,1.345907147,8.189699121,13.33068918,13.77360462
28,2.085534787,4.482374164,7.466447213,5.298542696,4.587494669,1.01203882,-1.825137987,-3.535750064,-4.824662567,-8.814245368,-5.018911102,-0.974720326,-3.250487511,-4.328209865,-3.777103709,-3.315042028,1.463199561,7.259178635,6.009459982
29,6.990727302,10.1877678,7.773353569,3.083558029,3.095398688,2.015596515,-3.965654761,-9.250924395,-10.57049567,-9.988375088,-10.49146803,-8.054548099,-6.830961082,-3.446895981,-3.362769787,-2.231030613,5.186403103,13.68881934,16.17149915
30,-100,-1.792148252,-0.348374463,3.308353303,6.270339273,1.529195469,-4.482991396,-7.978070883,-7.003268112,-0.779170809,-2.156150886,4.12192577,0.57465225,2.938702884,5.241336596,5.932212366,15.57019817,38.0774153,40.97584342
31,4.205472341,4.29461277,3.20812202,-3.166386792,-1.795960419,-1.93699021,-8.046413404,-9.705029535,-8.573117172,-7.348637535,-8.279839257,-5.769807128,-6.255644545,0.269830253,-0.193352494,2.917247286,10.18350931,16.96830278,19.02408173
32,31.97636947,40.60004889,36.01014083,15.82528963,-13.46251779,-31.30267918,-33.55214647,-41.2399858,-36.71346105,-19.14611599,-13.38261231,-9.792367752,-8.742963828,2.602146874,6.668950614,7.203061707,12.77242089,27.50149938,26.17492189
33,15.69540483,18.82089673,12.37372458,6.046681712,2.830979703,-3.072396575,-7.520582879,-12.04390469,-12.446948,-11.95009133,-14.1368243,-9.910029748,-9.07982258,-4.809507915,-3.474001463,-4.653883641,2.299985107,15.06421892,19.96610154
