StateCode,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
38,2.166707287,4.375104368,4.415697209,4.688628653,1.762602714,6.233819601,3.638016401,4.057105533,5.864524113,2.588558166,0.163482339,1.956937484,3.224293776,1.159202343,1.503631324,1.481357173,8.194651152,6.329025983
39,2.388890166,4.637114884,2.985170719,-5.403434192,-0.671880163,1.461521402,2.360707338,2.673556984,2.551943595,3.583596982,2.465002447,3.223525815,3.868865811,4.510702001,3.086525016,2.99411103,5.553949439,3.117772368
40,4.605671424,7.214340985,3.019221979,-2.704217458,0.979262673,2.740540027,2.514748409,3.109767106,4.024950755,2.18603379,1.251853072,1.779323247,3.742182973,4.862876512,1.264486033,1.248696441,6.891054347,4.130846446
41,7.651825633,5.407743889,2.953006362,-3.412465865,-3.91481107,0.549828179,5.008971292,2.217204695,1.639768363,6.016642193,6.249538302,4.658277133,5.337806417,5.726358276,3.358286856,3.249170394,5.722310724,5.951861692
42,3.866448122,5.008755053,4.399291831,-2.352454006,-0.468497577,1.907157929,1.994903241,1.51668944,2.359297787,4.636134801,2.163297548,4.020595006,2.888757496,4.199983581,4.328506374,4.148920103,4.119958815,2.821805621
44,0.691826344,3.385185471,3.981854839,-2.840164449,-3.446109499,2.644773606,1.711537027,2.470946218,-1.808522056,5.796943033,4.344531882,5.402996897,0.735869735,10.61392602,1.994548188,1.955543922,10.60155659,3.809221296
45,4.537592838,5.423357664,2.991068338,-4.891876751,-0.999010414,0.830596411,1.746642434,2.449718143,2.434164346,4.421061939,4.790634659,2.159552332,3.432865335,7.496271938,2.74867946,2.675148211,8.086921339,5.753723778
46,6.154800298,1.479283027,6.005895357,-2.148505388,1.911506782,5.265336354,0.084849237,1.209627393,4.151429097,3.997724553,2.734971801,3.771090752,-0.437005715,5.79130682,5.551542842,5.259556319,5.420074687,2.985888022
47,3.706847765,5.089916904,2.943328534,-4.331178062,-0.6327142,0.559561998,2.568776533,3.584790946,0.14447931,6.568832984,2.690639873,5.753187633,2.015971952,7.056801909,3.231617057,3.13045281,9.312337717,3.642688571
48,6.604333278,5.845688082,5.247329015,-3.564934157,0.737686235,1.598272138,2.729186913,1.89988175,2.574268915,4.936362779,1.638725675,4.668964908,2.403472621,5.616124297,2.287066246,2.235929067,7.946179233,4.836478335
49,7.040931281,7.40610809,2.765428514,-2.676884502,-0.676742203,2.055019728,2.112083624,4.769584042,1.927388322,3.266471882,4.871884537,3.608833381,4.470581351,6.113647184,2.420823436,2.363604739,12.23300482,4.769648304
50,4.331742766,4.703660967,4.40218807,-0.932749885,-4.285326824,6.821033883,0.380854934,-0.75315703,3.02027464,5.213602629,1.205474645,-0.284342112,5.683932328,3.650751867,7.48400819,6.962903893,2.153773937,9.757943534
51,3.755530973,5.837198145,2.805480004,-3.107801349,2.265295803,1.990968125,-0.227853011,1.498194069,3.568123065,2.095467012,2.79496544,5.022462343,1.456629622,5.344668421,2.947446898,2.863059732,6.064498598,4.725583129
53,6.741504608,5.720480003,4.47374575,-2.634388237,-1.621631181,2.164260934,1.298495645,1.445121845,5.069771424,4.502493237,4.642205554,5.771466039,4.359035771,6.22899032,3.532985118,3.412424663,8.378933374,3.613125096
54,4.803898123,5.707521606,2.506745818,-1.458316881,2.091625484,0.690773981,4.454030456,2.629614887,-0.470268829,2.338098833,3.250910302,0.193615305,1.444707723,10.77851101,2.454452405,2.395652261,6.011941929,2.979992269
55,3.538902452,3.702944312,2.997350627,-4.033094022,-1.984277799,2.844839901,1.317591031,0.799075579,2.24415645,5.731443123,2.108271325,4.389994895,2.475339347,5.586362365,2.304107967,2.252214513,5.766852886,5.120006761
56,2.642742738,9.08419965,2.853221473,-1.02054241,1.610208112,5.251158619,-2.522992791,7.014444181,-2.888412309,5.536762773,-0.551366792,0.921812899,1.90290234,5.551766693,0.154608249,0.154369581,7.419790197,3.38796722
72,2.543063315,0.681005618,3.720196156,-0.472800391,2.992246369,-1.070936274,4.121114684,-1.266148541,-1.329301986,-1.595519865,7.795554601,-3.66072318,4.926846921,0.877020102,4.305460584,4.127742268,8.431892791,6.258294625
