MA,21266,20976,21327,21222,19148,15811,13971,13606,14255,15180,16907,18208,18172,17958,18847,18587,16974,13892,11694,11573,12218,13604,15376,17441,17747,18003,19690,20054,18989,15894,13585,13188,14114,15226,16868,18485,18137,18200,18395,18524,16537,12933,10977,10629,11607,11430,12163,12402,11500,11164,11619,11928,10570,8309,6505,5814,6260,6781,6994,8294,8541,8549,9077,8878,7471,5489,4213,4107,4398,5334,6561,8221,9229,8771,8944,9218,8750,6739,5725,5236,5470,6065,6443,7113,6863,7037,7587,8209,8094,6473,5409,5275,5701,6494,7540,8891,8936,8966,10026,10410,9504,6972,6101
MD,27278,26749,26736,26324,24779,21998,20282,19687,20235,21307,22872,23352,23634,23579,23782,23628,23355,19898,17760,17338,18635,20120,21352,22175,22607,22820,23429,23690,22997,20580,18479,17795,18522,19663,21152,21938,21871,21620,21412,21151,19784,16909,14955,14039,14411,14128,14057,12846,11341,10317,10135,9998,9361,8108,7014,5933,6248,6657,7334,8303,9406,9959,10112,9780,8659,7172,5836,5339,5508,5953,7305,8414,9626,9909,9796,10154,9978,8586,7503,6701,6480,6586,6728,6916,7301,7482,8191,8831,9079,8141,7159,6971,7226,7701,8330,9067,9446,9528,10266,11525,11328,9735,9094
ME,13939,13720,13280,12669,11619,10434,9506,9224,9080,9232,9952,10966,11464,11721,11572,10990,10167,9098,8105,7666,7565,7796,8534,9548,10202,10568,10616,10279,9508,8612,7671,7392,7090,6906,7363,8408,8964,9004,8773,8520,7861,6851,6136,5764,5641,5645,5518,5551,5426,4955,4766,4592,4121,3605,2989,2510,2285,2241,2440,3006,3520,3665,3525,3183,2696,2297,1825,1606,1550,1686,2184,2823,3435,3498,3358,3308,3066,2688,2243,1998,1845,1920,2167,2445,2853,3124,3373,3484,3323,2934,2468,2306,2282,2476,2942,3579,4107,4330,4510,4723,4691,3524,3044
MI,47690,48606,47611,45313,41792,36894,32663,31678,31694,32747,36996,40414,42774,44680,44358,42131,38809,34458,30774,29143,28782,29715,32536,36601,39528,42160,42784,41966,39841,36157,32707,30886,30595,31006,33550,37373,40267,41272,41742,41459,37949,33539,29734,27897,26748,25839,27571,26411,25171,23666,22241,21017,18924,16711,14011,11654,11109,11138,12589,15422,17040,18616,18806,18016,16342,14017,11539,10137,10178,10572,13696,16627,20313,21541,21189,21228,20739,18204,15542,13690,12630,12678,13480,14676,16106,17324,18011,18707,18719,16878,14880,14083,14092,14524,16125,17765,19528,21365,22480,22634,22270,19695,17616
MN,24687,25004,24664,23379,20941,17526,15139,15209,16290,17472,19465,20674,21364,21908,21430,20316,17708,14728,12561,12706,13762,14459,16299,18326,19489,20183,20539,20140,18360,15598,13267,12802,14280,16540,18862,20843,21629,21941,21951,21780,19319,15798,13718,13512,14428,14927,16014,16005,15033,14659,14069,13689,11605,9462,7655,6904,7049,7391,7847,9311,10384,11260,11784,11435,9804,7729,6138,5213,5533,6208,8031,9500,10935,11114,11322,11489,10693,8714,7218,6552,6669,7191,8237,9408,10040,10700,11665,11899,11385,9608,8247,8061,8693,9401,10596,11671,12331,13243,13794,13878,12885,10531,9135
MO,30192,30033,29582,28742,27441,25335,23168,23354,23597,23791,24847,25661,26691,26856,26723,26140,25100,23202,21133,20952,21466,21925,22829,24098,25008,25844,25979,25986,25274,23353,21256,20564,20381,20333,20958,21904,22478,22723,22893,23007,21966,19989,18131,17168,16968,17006,16047,14785,14026,13152,12888,12909,12310,11159,9519,7891,7620,7674,7914,8720,10426,11029,11307,11088,10253,8940,7580,6800,6925,7418,8978,10401,12214,12674,12828,13448,13545,12586,11193,10300,10072,10032,10359,10968,11709,12263,13081,13893,14277,13531,12332,12067,12398,12992,13787,14799,15573,16115,17388,17967,18449,16598,15076
MS,13196,13058,12915,12674,12350,11864,11376,11646,11804,12019,12111,12145,12341,12391,12064,11868,11730,11261,10778,10952,11255,11622,11069,11244,11401,11303,11350,11247,10989,10439,10134,10133,10184,10258,10315,10598,10658,10512,10286,10069,9912,9715,9091,9088,8958,8774,8194,7541,7021,6581,6275,6060,5820,5527,5075,4570,4248,3756,3537,3683,3935,4280,4227,4146,3899,3721,3387,3073,3170,3250,3747,4192,4875,5107,5213,5453,5667,5546,5190,5055,5039,5048,5098,5350,5570,5857,6168,6573,6891,6894,6574,6472,6711,6936,7313,7528,7796,7893,8184,8329,8407,8022,7709
MT,8306,8287,8122,7608,7141,6496,5803,5765,5873,6247,6819,7335,7667,7894,7765,7305,6817,6290,5633,5561,5654,5867,6416,7247,7808,7969,8067,7748,6965,6482,5859,5623,5431,5443,5875,6308,6673,6634,6437,6243,5619,5052,4517,4294,4366,4610,4583,4506,4149,3848,3479,3089,2691,2395,2071,1752,1725,1739,1903,2271,2639,2816,2786,2523,2132,1845,1587,1526,1515,1697,2304,2964,3682,4015,3909,3746,3584,3306,3001,2795,2728,2827,3130,3622,3983,4207,4322,4247,4033,3767,3424,3227,3303,3644,4185,4883,5321,5472,5437,5275,4935,4384,3949
NC,61321,60606,65482,58417,55483,51383,47505,47631,48397,49890,52504,54448,54541,51976,51698,50715,48617,45442,42394,42103,43236,44468,46152,46791,48339,49180,49481,48533,47012,44494,41220,40770,40445,40387,41715,42790,43145,43241,43069,42719,40868,37602,34754,32887,33146,34163,32726,28985,26554,24345,22698,21931,20563,18630,16048,13646,12347,11972,12055,13222,14556,15362,15662,15560,14426,12521,10387,8725,8833,9567,13039,16231,20397,22140,22869,23982,24389,22937,20763,19037,18091,18087,18587,19483,20078,20847,22130,23925,25052,24618,22637,22427,23459,24747,26148,28375,30253,31594,32853,33150,33575,31410,29443
ND,3413,3532,3564,3442,3266,2981,2678,2693,2807,2974,3291,3593,3823,3896,3973,3892,3645,3387,3022,3087,3120,3195,3492,3744,3818,3884,4014,3932,3790,3482,3125,3043,3131,3305,3608,3825,3831,3819,3794,3754,3482,3158,2758,2685,2773,2853,2922,2892,2822,2777,2711,2618,2464,2295,1967,1749,1663,1694,1695,1849,1950,1990,1976,1918,1787,1611,1359,1295,1207,1242,1422,1632,1878,1920,1981,2039,2033,1885,1741,1530,1462,1427,1531,1708,1855,1968,2100,2111,2048,1911,1735,1620,1634,1677,1834,1830,1966,2004,2080,2145,2047,1916,1696
NE,4975,5140,5186,5178,5008,4504,4096,3948,3976,4077,4280,4492,4750,4898,4987,4985,4865,4438,4205,3980,3970,4189,4470,4929,5231,5446,5558,5686,5640,5087,4656,4473,4392,4391,4728,5032,5192,5364,5596,5752,5407,4923,4407,4215,4353,4440,4215,3819,3617,3440,3326,3254,3113,2849,2491,2135,2020,1944,2020,2206,2448,2557,2647,2718,2594,2214,1879,1761,1713,1881,2221,2534,2994,3285,3338,3575,3675,3355,3093,2852,2770,2836,2987,3175,3493,3611,3823,4110,4272,4057,3610,3410,3580,3703,3862,4210,4476,4625,4850,4971,5047,4649,4318
NH,9627,9474,9168,8671,7829,6677,5786,5604,5675,5885,6628,7146,7549,7701,8392,7665,6575,5443,4576,4346,4430,4837,5532,6270,6647,6780,6894,6696,6065,5199,4487,4277,4295,4430,4912,5492,5886,5854,5823,5694,4933,3988,3435,3223,3374,3458,3478,3358,3038,2890,2760,2634,2193,1803,1421,1233,1317,1451,1607,2037,2261,2318,2229,1966,1548,1169,966,873,928,1148,1546,1966,2384,2399,2230,2233,2143,1735,1434,1257,1179,1270,1466,1667,1811,1867,2024,2131,2032,1785,1477,1384,1396,1553,1939,2266,2519,2705,2824,2793,2548,1990,1693
NJ,55386,54142,52742,51283,47673,43534,40638,41769,43277,44609,46907,47461,47079,46419,45783,45000,42820,38980,36052,37051,38911,40811,43402,44930,45330,45166,45104,44822,42983,39458,36735,37652,39791,42134,44161,44782,44524,43182,41753,40377,37596,32845,30341,30479,30773,28459,28179,27882,26461,25426,25227,25173,23147,20116,16981,15098,15540,16370,17417,19821,20991,21407,21054,20215,17381,14000,11507,11297,12090,12891,15526,17275,19053,18516,17547,17393,16654,14305,12683,11906,11490,11704,11940,12377,12785,12804,12914,13304,13296,11903,10757,10825,11472,12400,13197,14087,14666,14909,15648,15829,15248,12895,12018
NM,11820,12022,11939,11511,11015,10234,9643,9483,9487,9849,10325,10786,11235,11261,11029,10735,10265,9500,8810,8644,8627,8770,9119,9570,9856,9943,9791,9506,9011,8462,7612,7445,7359,7463,7789,8223,8342,8264,8145,7978,7429,6807,6306,6169,6111,6217,6045,5617,5410,5204,5011,4912,4770,4443,3977,3794,3662,3611,3650,3935,4201,4323,4231,4002,3679,3349,2931,2740,2762,2745,3124,3573,4160,4162,4190,4303,4407,4064,3728,3442,3342,3407,3486,3774,3980,4198,4516,4424,4434,4257,3857,3772,3864,4123,4417,4810,5173,5529,5723,5817,5667,5283,4963
NV,12829,12951,12969,12653,11959,10811,10174,9739,9479,9530,9159,9010,9144,9196,9011,8962,8496,7608,6305,6286,6346,6605,6905,7389,8060,9103,10203,11279,11671,11343,11239,11524,11544,11727,12619,12909,13131,12998,12797,12610,12647,11416,10339,9613,9496,10973,11397,10994,10269,10114,10201,9919,9322,8281,7086,6215,5361,5515,5371,5645,6411,7002,7421,7512,6956,5786,4880,4648,4760,5412,6827,9031,12158,13719,14175,14148,13381,11917,10445,9373,8684,8086,10008,9857,9681,9722,7294,7472,7579,7195,6636,6369,6424,7148,7538,7820,8563,9530,10123,10501,10570,9728,9344
NY,74565,73741,72444,70893,66228,60214,55071,55963,57186,58913,63653,66062,66901,65719,65624,64607,61079,54878,50144,51093,52547,54766,59570,63882,65518,65536,65983,66022,63390,57469,52436,52836,54874,57301,62274,65030,65235,65396,65481,65163,61176,54316,49511,49905,50874,47790,46552,49162,52671,52415,52723,53335,50315,45880,39831,37821,36544,37445,39526,41577,42544,42142,41154,41137,37805,32936,28495,27695,28782,30165,33724,36678,39156,39169,39233,39793,38451,34254,30837,30223,30106,30995,32392,33613,33717,34313,37000,35930,36366,30978,28234,28021,28799,30661,32957,34892,35155,34865,36734,36819,35417,31376,28510
OH,45197,45388,44532,43282,40894,37196,34196,32929,32598,32614,33325,34903,36577,37288,37332,36610,34705,31457,28437,27196,26608,26835,28037,30210,32356,34062,34535,34729,33625,30459,27370,25618,25558,26077,27014,27677,29192,29923,30354,30644,29304,26214,23480,21160,20436,20086,18629,17161,16394,15955,16007,16439,15921,14047,12002,9605,9254,9295,10343,12054,14152,15670,15602,15564,14212,12261,10147,8596,8352,8996,11081,13051,15398,16164,16185,16890,16616,14562,12523,10839,10451,10790,11048,12010,12608,13553,14714,15931,16319,15200,13353,11975,11652,11863,12936,14359,16576,17425,18283,19200,19618,17499,15930
