state_id,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412,202501
IA,29.75617031,32.60082407,30.15293555,30.11958534,30.8673126,32.32432783,34.32135572,37.57641855,39.12702955,36.88141923,36.7031474,38.14993067,35.29192454,37.81995255,38.16654558,40.00484571,43.19573408,43.48543957,42.06496156,41.85585697,41.44651625,40.07677145,36.10083779,36.63104658,35.82879726,39.83019104,41.96246611,39.26587404,30.00773785,19.10095991,8.718029189,1.975361743,-4.321173601,-8.507106546,-12.59113896,-15.25083612,-22.47557975,-24.68472968,-28.88231228,-31.20294897,-32.72944422,-32.20616087,-31.59265652,-28.95917176,-29.15022442,-29.85786907,-31.56917504,-32.30116649,-39.11863396,-42.11512049,-42.62701802,-41.50009519,-36.27371821,-32.3421338,-24.96940216,-26.37860588,-26.16652107,-24.2141301,-20.86497094,-20.70968268,-25.85191261,-26.38281933,-27.09599674,-27.91997647,-27.5484457,-25.97406802,-25.43072336,-23.48622162,-20.57866675,-18.94387385,-16.22613028,-14.81686923,-18.56237417,-17.06829816,-11.67662017,-8.767284499,-7.519176428,-4.388364599,-3.111564409,-2.58363798,-0.356959968,4.564788879,8.44742999,8.297577295,5.131608381
ID,39.70824897,45.7323707,42.79712653,36.0250813,31.00416234,28.03908203,23.08793031,21.94791265,23.29974554,24.89767501,29.65460526,32.38522016,27.14530447,35.7399532,33.9298313,26.42620644,19.367846,15.28289025,12.83907092,10.20499018,9.64885496,11.67981772,12.08881579,13.97751361,9.993251311,11.60122639,9.460586225,16.88886283,5.965140487,-14.11042945,-31.05972626,-44.10425562,-52.00814249,-56.4918351,-61.41447368,-62.80891942,-66.56803198,-65.13038605,-62.06144571,-60.29183393,-57.36992716,-51.47239264,-43.32642058,-34.34445637,-30.02137405,-30.97177096,-36.57894737,-41.45222315,-52.40616726,-53.26871724,-49.08601117,-40.21213631,-18.8189386,1.938195867,19.95230194,25.17757046,25.22340967,27.05388413,29.49013158,28.98542946,19.04687743,17.90129563,11.88506188,4.274956772,1.831425606,0.109066124,-0.58896724,1.422587363,3.364885494,5.905312463,5.690789474,7.835350307,1.354929139,7.424257417,13.07485086,16.88886283,18.02029137,20.21358782,19.09581086,19.69565129,20.49262086,17.92691675,21.06907895,21.077629,21.72558791
IL,52.43685601,50.92850347,56.60771113,61.63077767,63.57545871,64.65885239,63.75908879,64.51027289,64.43651926,62.78777238,63.53691212,67.10550445,58.32834423,55.46354699,60.36562997,66.23234124,68.23238796,67.00181688,64.61177179,63.45272743,61.62910128,61.30975477,59.30826922,59.74274453,51.7778448,48.49008069,47.55817065,39.33959676,30.87870649,21.00377486,11.2326439,7.065671556,5.235378031,4.879214242,3.028710635,2.120994309,-7.8536671,-20.42707636,-24.90408162,-26.02866548,-26.87114613,-23.30881444,-19.28227282,-17.46534882,-17.99429387,-19.60956483,-24.18234802,-27.18431685,-37.18506781,-44.58578526,-45.23778838,-45.00411466,-39.13242821,-34.63468628,-28.4361618,-28.61135925,-29.4807418,-28.85789548,-27.2223501,-27.7255942,-34.13849139,-42.0945065,-45.85890331,-48.75531477,-49.55975785,-49.27589917,-48.61046578,-47.9382186,-45.9828816,-43.88679013,-40.4949992,-39.41163351,-44.46300039,-47.77476303,-48.5307385,-47.41462077,-47.12322102,-45.44504418,-43.27460411,-41.01374521,-37.84308131,-36.62249085,-33.97419473,-34.64769884,-38.90281835
IN,47.69496438,54.87643398,56.23733091,58.94104118,60.39553552,62.03964974,59.88190927,58.51215866,56.27125721,53.69842595,51.47945993,53.39137317,47.09467863,55.08751231,54.18561339,46.34690694,44.76992362,42.83533053,40.71757582,41.33842921,40.28482006,37.61165771,32.9933927,31.67392165,24.26737385,25.49983614,23.56324993,25.03080759,10.28392401,-6.688897812,-18.45872474,-25.59818974,-28.26186749,-29.18156276,-30.76702097,-32.31499802,-39.09155386,-47.3497214,-48.16057632,-49.41260234,-49.55029046,-44.51610537,-39.34587249,-36.88313376,-36.52895147,-38.67712666,-42.01378914,-43.33201425,-48.84414156,-52.58079318,-50.89300387,-49.01005011,-36.5929117,-29.82642576,-19.83381506,-19.81550855,-19.7318727,-17.10591245,-13.80350474,-13.68421053,-22.43979154,-23.57128809,-25.59168353,-26.03581892,-25.033614,-22.82360411,-23.41379157,-21.49801867,-17.46061553,-12.17837039,-8.108302212,-5.081123862,-12.05402572,-11.96197967,-9.340930221,-5.860284238,-4.272567077,-1.019946951,0.452718535,3.944262781,5.427230069,5.832888538,10.21976444,9.34705184,3.372495811
KS,48.42683536,50.46305518,54.70837489,56.95995308,61.28301706,63.22123085,59.51093499,60.6539924,59.66280341,58.3856559,58.3758631,60.90453432,55.01914433,59.38558057,60.11714857,58.63610818,56.8275007,52.26721575,49.42752686,47.37642586,43.73701237,40.27432473,36.77574302,35.52861639,28.01731313,29.5857399,28.22283152,23.65919808,12.78964431,-1.237703038,-10.68981371,-16.80608365,-20.97088626,-22.3336564,-24.4821375,-25.29199208,-34.42650241,-42.21270663,-44.98753738,-47.88525912,-45.81624869,-41.40242507,-36.8484424,-34.90494297,-34.54229953,-36.359614,-41.00870609,-42.31262385,-50.57432995,-52.33768173,-52.66450648,-51.16915484,-45.24887957,-39.25646305,-31.31635982,-29.39923954,-29.69857966,-25.40137373,-21.40498349,-21.34281385,-26.28599967,-26.70284803,-28.46460618,-27.80560511,-28.52817775,-25.24365133,-24.34379037,-23.17870722,-18.67649264,-15.37229783,-12.12848994,-11.24140343,-18.07890794,-18.18113921,-16.93170488,-12.39524031,-11.30685611,-8.348204068,-5.740055612,-3.741444867,0.488442347,0.806961363,3.872710898,3.755682478,-2.097552855
KY,42.4656034,48.89368957,52.62095034,56.11753372,59.63333389,61.89811023,59.95282301,59.83707981,58.23898099,56.43273605,54.83659947,55.77831267,48.35786159,53.09952575,55.01320399,56.11753372,55.69451169,55.1546971,51.96317151,48.62858321,46.12818439,43.27502798,37.97320745,35.76216447,28.58922582,29.41216183,27.59894368,24.73506744,10.66103421,-4.535748122,-15.34165272,-22.53041864,-26.01091791,-27.31979971,-29.06226001,-28.2852442,-34.57183928,-41.13010751,-43.10544212,-45.49614644,-46.73824114,-44.4792319,-37.97899863,-33.35739328,-31.64173069,-33.03967884,-35.04508091,-37.4135462,-44.8887672,-48.49032084,-49.98015086,-49.28949904,-39.73718923,-32.59958577,-25.35534926,-23.48937925,-24.71694298,-22.35462685,-19.38621689,-19.48752323,-26.08392087,-26.5514506,-27.70077843,-29.84104046,-29.5570286,-27.87919657,-27.8587734,-26.54155496,-23.75657097,-18.93858793,-15.62331123,-13.03586118,-16.7526867,-15.23349816,-14.44672662,-12.34344894,-9.956420833,-7.559045009,-5.381220513,-2.54691689,1.758997169,1.944929111,6.307062218,6.681697698,2.884523239
LA,31.47924528,36.68629843,39.28362231,42.94642954,44.17958104,46.30957717,43.0685406,42.23022462,43.28754986,44.13597502,43.96997501,45.44599136,40.4754717,46.82964769,46.24625617,46.1450587,44.39243711,43.29896907,40.04189623,37.60172527,37.41640994,35.50607626,33.19849878,30.99270764,24,27.81864647,27.28468328,24.91569546,16.81237173,5.445988346,-3.313520349,-10.35664875,-15.03436337,-20.52667535,-23.10362801,-24.7471183,-28.90566038,-34.12268032,-38.44258039,-46.54598579,-48.99056265,-48.32660989,-45.91046996,-44.2586263,-45.03920618,-48.64087116,-50.14908256,-51.00404181,-55.14716981,-56.08178688,-56.39070324,-54.82705215,-49.70515089,-43.38114448,-35.50863726,-30.9214274,-27.15170374,-23.30186529,-19.87802334,-19.50770939,-23.25283019,-21.53683745,-20.45577624,-18.96549831,-15.64817931,-14.82892574,-10.7898376,-10.13590494,-6.162739169,-2.230710288,0.198081756,1.861594096,-1.841509434,0.406711823,2.474497949,6.331352486,8.959503058,11.48214553,12.41202812,15.84065756,12.68405273,15.05807095,15.76417851,16.95857663,13.19245283
MA,45.69920105,45.12378631,43.09664035,46.65352512,49.60316913,51.00993232,53.45817938,56.17920432,61.5106986,60.94518518,66.33047615,77.1370345,69.25976109,65.37565833,65.30250302,64.13897188,64.11981379,60.04922877,56.83050653,57.88821411,50.88823264,48.66603223,44.85265597,44.13698673,36.76587394,33.28615957,35.94063713,23.21742077,18.3417889,7.380607801,-0.559583993,-3.150328441,-4.693102743,-4.270760504,-7.414127499,-7.397029091,-18.95217181,-27.09326073,-26.68317494,-26.89962115,-31.95079573,-28.18781155,-26.14603538,-25.83591525,-25.54430619,-28.74881051,-34.55921916,-38.82564601,-47.5089162,-48.49879976,-48.49083121,-42.49853697,-36.16373617,-28.81986964,-20.19690441,-23.91002604,-26.63526215,-26.02010985,-23.35606581,-24.89452149,-28.67043561,-34.34129913,-35.93561772,-34.61822774,-37.31183541,-38.4132992,-40.65568913,-38.95278227,-37.76629405,-34.11793033,-29.10217105,-27.85906479,-32.60757838,-33.85224464,-33.2301566,-29.99353189,-26.63840432,-23.01878859,-22.73047327,-22.21836661,-17.75996627,-16.45360638,-16.75154851,-22.29775988,-23.98573409
MD,61.82232346,63.7514167,69.34311314,74.28967429,73.27552225,73.1281857,72.7646892,74.32203847,75.70306727,74.32118495,76.53916169,81.82277132,68.37357631,68.06762372,68.31624049,70.33090783,71.65248439,71.27784162,67.14011225,65.15523539,60.57680978,55.63813351,51.8741912,49.389759,36.2642369,32.59350208,30.95806834,22.38392238,14.0752162,0.293333642,-13.33107709,-21.18841057,-23.99374336,-26.43042604,-28.13918804,-28.36642226,-36.09111617,-43.96486589,-43.22212123,-42.33367983,-40.48320157,-35.17549827,-28.11851786,-23.92317348,-24.16622919,-28.03456358,-33.52817319,-36.63591273,-46.82460137,-49.57499056,-49.94677396,-48.43208593,-40.71854206,-34.30888142,-26.43725845,-24.30512361,-26.53603453,-25.2825111,-23.40271534,-24.14332777,-31.63553531,-36.71137136,-41.11385172,-42.94871795,-45.40100629,-46.00430519,-44.20511364,-42.84498283,-38.57254582,-35.01771278,-30.30399404,-28.07486971,-34.76993166,-34.1613147,-34.33467478,-33.29002079,-32.40047301,-29.210676,-27.81283433,-27.21558359,-23.01132406,-15.19410483,-13.03928236,-13.99199811,-17.13895216
ME,88.04559033,83.51001985,87.39825889,90.34530867,91.7875947,89.01583712,85.4571896,88.98426323,90.93034609,88.90755862,88.7256848,97.58120021,77.97627679,76.95096096,75.63167952,68.61527728,65.47129831,66.44796382,62.95219051,61.01573677,57.78371574,56.58064009,56.03414053,57.17937792,42.36246049,37.97961837,39.73741949,37.82699685,24.00796198,9.889705892,-1.363388475,-11.39127325,-14.28277793,-15.60818084,-18.20166733,-17.29212416,-30.65166323,-39.91519047,-43.39656027,-45.28426927,-45.16501862,-40.49208144,-36.01163425,-34.45994278,-36.60234835,-41.50279608,-46.48670107,-47.30097342,-57.65784055,-61.55529717,-61.60379362,-58.83501919,-50.918197,-44.114819,-37.55680785,-37.44635193,-39.6058683,-39.2055449,-39.14251687,-38.33043821,-47.95974595,-52.17153409,-54.29612853,-53.12173003,-51.300244,-51.59785067,-48.13670242,-44.13447783,-39.33609105,-35.97101525,-34.04128622,-32.68657206,-42.73947971,-44.79857738,-43.47087551,-39.54656436,-33.88339541,-29.14875565,-25.34084712,-22.56795422,-18.88697618,-13.2006616,-6.887653831,-19.15047033,-29.37559816
MI,47.59446773,48.37515457,50.20352782,53.54095309,52.29459637,55.39469294,55.48824691,58.71445167,59.93762451,58.76709886,59.56094378,63.07820181,56.8652842,57.2492545,59.6649619,60.21170424,57.0409303,58.67232751,58.39519425,55.37150971,56.04235981,56.84900042,51.98359116,51.2702882,42.60654784,42.03142048,39.58876944,33.51319828,29.05441101,12.13161485,-0.986777396,-10.90758507,-16.85740682,-20.48782069,-24.21045405,-24.62870729,-32.80216783,-40.66623027,-42.02588456,-42.44862408,-41.07337492,-34.5237301,-32.97106539,-29.91868519,-29.69832259,-31.84129883,-34.55121751,-36.7794022,-44.6580697,-48.38970107,-46.88445882,-45.37321366,-35.89172634,-29.40773314,-20.09631756,-18.90730542,-20.79005409,-19.68955882,-16.94148207,-17.89485893,-25.45937423,-30.30038548,-34.08829976,-34.4912602,-36.90277972,-37.69097802,-36.6450692,-34.78251516,-32.67023759,-29.22708577,-25.03146742,-23.8754905,-28.63437708,-28.29951269,-26.45861601,-24.95275778,-24.5220566,-24.57619409,-23.18421155,-19.56987049,-15.96396319,-14.37033514,-10.80991396,-11.17003113,-15.51231093
MN,28.93160035,35.2730038,36.81086144,32.97029576,32.84237246,34.94277538,36.64025801,37.03297768,36.76515349,35.15482697,36.64926479,40.99431822,36.17829328,36.29505703,41.96040556,52.10793913,53.73169086,53.47660522,51.64411414,48.96896216,46.16738324,46.16048319,43.78688162,42.80216946,40.80755463,43.85399239,43.43170388,37.27419634,30.5195259,17.85218378,5.398583748,-0.472356945,-6.317301499,-8.136324409,-13.62664935,-14.47055783,-21.42573038,-26.4973384,-29.92444686,-32.02963856,-36.04429126,-31.43882017,-27.19624202,-23.54995151,-21.53266621,-23.26239094,-27.03107887,-30.13558882,-36.99688218,-44.50038023,-44.99531345,-42.9089428,-34.54462892,-30.04712615,-23.33309963,-24.54122212,-24.60903316,-22.90000958,-20.41445597,-21.23192147,-25.9112896,-30.24486692,-33.70210471,-33.86891231,-32.86565912,-30.72456451,-29.60807684,-27.35208536,-22.32506376,-20.14859552,-15.26405884,-13.15082642,-15.34918334,-14.17946768,-13.58110605,-13.54493738,-13.63900984,-14.06105362,-13.5455374,-10.08632397,-8.148472307,-6.867989637,-4.099903224,-4.807592951,-6.234362771
