StateCode,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012
41860,624770.3244,623690.5628,622140.1158,619699.578,617013.9295,613781.2953,610587.9605,607696.8174,604482.335,599588.9584,594191.4968,586937.6669,580725.7571,575449.6146,570496.1736,565036.8943,558344.2454,551515.2658,543872.2211,535529.006,526834.3347,518760.8353,510525.1946,503784.8514,495486.8088,488921.1681,482894.567,477467.5407,472212.7552,468927.5039,466617.1383,462761.5267,457379.8982,455184.3628,457272.3694,462600.2922,467749.7453,471105.3391,472418.5331,472897.8787,473783.7204,473632.4456,471577.1242,469524.3716,466701.3615,464270.7138,460941.4811,457370.8287,454185.5209,450718.5291,448228.5538,445592.3142,442395.7033,438260.1169,435614.4201,432431.2336,430553.2111,427804.4526,426083.0167,424765.0727,423074.6541
40140,384304.391,384418.7213,383696.6346,382133.528,379054.3801,375384.997,371166.0495,365864.9974,359841.9771,353575.4224,347703.5498,342199.4339,336747.7151,329790.9999,320363.264,309127.3503,297773.2922,286959.1024,275482.0998,263962.3393,253022.8719,244384.1468,236200.8845,227960.9596,219636.9356,213977.5307,209842.5917,206092.8342,201527.8663,198098.3715,195534.0843,193175.6741,190301.8059,188155.7943,187732.6707,188742.9974,190514.2264,191489.485,192299.2431,193024.8538,194216.3788,194767.7594,194740.1968,193590.7059,192951.611,191774.169,191596.4892,191526.1164,191791.6604,191506.2829,190878.7584,189886.1289,189200.0954,187954.4509,186880.5681,185669.3634,184764.0039,183898.7275,183504.0966,183224.891,183172.8712
19820,150230.5944,149266.1178,148216.9801,147296.1305,146305.8628,145427.9787,144492.9568,143624.048,142479.4673,141105.5996,139682.4205,138464.7929,137273.1601,135961.612,134304.1869,132266.8357,129940.3884,127502.1391,124904.413,121972.0207,119179.4249,116993.7498,115130.502,112850.3132,109662.4279,106209.7794,102970.3282,100506.1512,98642.62799,97014.71943,95798.59581,94598.35108,93509.67417,92042.44415,90636.63741,89345.86375,88607.6936,87887.73933,87390.25015,86997.69868,86997.20326,87253.1532,87192.59393,86921.88322,86303.20322,85606.63272,84680.62946,83716.40573,82667.50911,81840.49242,81186.89302,80622.53964,80075.09129,79459.73339,78996.09085,78741.99681,78708.85222,78722.12685,78666.5706,78544.44332,78385.71798
42660,390058.369,391423.9762,394121.6505,397747.2237,400770.3687,402595.6419,403223.9347,404007.9955,404414.3015,403508.355,401299.4091,398951.3242,396948.287,394683.9798,392066.1315,388570.6004,384632.6449,380165.8655,376104.1489,371426.9124,366715.2528,362178.5458,358154.4817,353852.4401,349827.7671,345600.4008,341454.7145,336147.1406,331211.4034,326829.398,323925.087,321578.6703,319764.7969,318558.0137,318056.7113,317826.1543,316500.7782,314914.7999,313125.3061,312849.8655,313065.3137,312488.8016,310413.3914,307071.3846,303865.5677,300216.4523,296751.4756,293502.318,291025.8853,289236.6175,287063.1986,284699.0047,280858.4778,277492.4736,274056.5278,271462.1151,268806.4795,266311.8607,264174.1292,262240.5351,260809.3275
33460,242023.0361,242067.2447,241913.7969,241572.6356,241015.1463,240374.9851,239438.9281,238456.0917,237356.2553,236380.8396,235118.9146,233504.9045,231514.9577,229173.1191,226866.917,224800.8247,223165.9341,221888.5943,220436.2497,218342.9925,215755.347,212998.9604,210496.463,208149.2427,205885.6433,203729.3163,201371.2127,199322.7813,197992.5087,197476.7333,197328.708,197270.4118,196972.9362,196384.1872,195608.3686,195158.3031,195006.3359,195242.6701,195875.5712,196602.1319,197176.2158,197127.8083,196564.4118,195247.7093,193287.6422,191059.2001,189043.4821,186892.0373,184914.5979,182772.796,181270.3423,179687.8269,178145.7451,176410.1166,174726.0398,173260.6333,171924.8471,170728.0338,169509.379,168230.6061,167215.6311
41740,515836.6758,513788.4811,509141.2028,503878.5277,498081.4879,493686.8386,488994.0822,485550.2923,481462.4288,477252.5394,471884.7907,467568.1396,461991.057,455089.97,447026.7603,440174.5532,432626.8158,424798.5783,415872.0404,407169.6333,397232.6141,388172.46,379851.3885,373837.1698,368691.2561,365348.0594,363350.2302,359473.9942,356412.1527,351323.8624,349438.105,346887.9214,347207.1853,347612.4029,350485.8675,353689.2288,356932.1678,358958.5274,360949.4087,364163.292,365491.0881,365678.1487,363907.3473,362096.2234,359423.9871,355649.2797,352226.0873,350508.8319,349496.5965,348615.6287,346470.6992,344917.4843,343342.4894,342461.5128,341042.264,338176.7884,334934.8094,332168.6603,330901.4781,329850.8764,330144.5295
45300,224773.1678,224013.135,223574.9449,222954.2901,221982.7255,220364.9839,217776.0064,214632.5704,211493.111,208251.4172,205411.9698,202173.5775,199045.815,195397.57,192087.4959,188802.1253,185598.7938,182478.586,179395.8114,176235.7963,173015.4146,169732.3371,166192.5374,162757.4983,159627.1893,156780.9002,154181.1808,151354.8758,148870.2501,146490.1128,144548.2888,142519.2146,140660.9018,139079.8527,138251.2777,137622.6159,137344.2949,137125.166,136949.5479,136708.555,136416.4585,136030.0221,135230.968,134122.3136,132664.6139,131204.4097,129644.0713,128360.7108,126903.4154,125199.4524,123494.0822,121760.7268,120285.6907,118780.0465,117485.3646,116346.1,115524.0678,115207.9666,115100.5545,115026.7372,114695.8479
19740,246816.2875,246219.2283,245773.3575,245584.2347,245863.0916,246104.4933,246271.0447,246226.4928,245755.7401,244874.2098,243642.6346,242068.9017,240633.357,239389.8713,238492.4114,237648.5041,236754.868,236006.7488,234884.3241,233782.8773,232842.7403,232193.1284,231528.2595,230701.0878,229852.7365,229354.1099,229166.9912,229087.7611,229061.7941,228955.952,228661.1658,228353.2766,228118.9166,228184.5735,228264.5547,228485.675,229112.2637,230143.927,231111.5046,231505.1911,231309.6266,230612.5671,229671.3359,228492.4687,227239.6948,225965.9959,224915.6587,224059.4498,223341.0959,222516.3657,221646.3816,220960.8801,219996.6541,219167.86,218379.7856,218008.1298,217858.4977,217783.5824,217785.5685,217758.9244,217897.2897
12580,304178.5956,304557.4659,305067.3752,305532.9748,305832.1908,306024.4027,305939.4898,305821.3346,305494.0001,304910.9209,303347.8348,301414.8997,299669.6244,298736.29,298135.5661,296918.5841,295171.7577,292918.2121,290266.507,287235.9718,284180.8962,281398.773,279146.4263,276836.0765,274561.1502,272385.7613,270334.9285,268086.0282,265407.1213,263133.9207,261386.7546,260192.049,258800.9533,257544.0997,256453.7228,255642.3503,255103.4555,254737.3225,254567.2429,254770.7239,255250.2409,255477.1124,254930.9319,253185.953,250953.0524,248588.5672,246367.034,244071.2258,242082.1515,240730.16,239906.9195,238950.1375,237999.983,237085.2436,235966.7407,234566.786,233047.5674,231903.4841,230872.48,230080.5171,229244.7949
41180,163840.8596,163908.7704,163979.3336,164036.2159,164098.3847,164171.6521,164197.459,164103.1792,163869.2587,163538.1166,163122.379,162675.8837,162195.2354,161911.8384,161610.8552,161075.6572,160409.8726,159701.1926,159191.12,158676.669,158184.273,157566.6172,156858.6078,156068.6852,155333.8658,154768.5271,154470.6099,154178.8212,153696.6401,152921.531,152066.9379,151282.9052,150594.4277,150170.7555,150098.8505,150266.8712,150453.2454,150286.0806,150050.6241,149970.6043,150088.6222,150013.0465,149602.1899,148964.8233,148244.0518,147362.919,146466.2921,145481.4297,144528.249,143657.0761,142839.6281,142067.8875,141214.0022,140451.7562,139612.8399,138686.6666,137808.8569,136975.5769,136203.7603,135417.2814,134796.3305
